baseline_test,np4_test,baseline_status,baseline_time_s,np4_status,np4_time_s,delta_s,ratio_np4_over_np1,np4_failure_reason
ogs-SteadyStateDiffusion_cube_1x1x1_1e3-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e3-mpirun-np4-vtkdiff,PASS,0.026484,FAIL,0.024050,-0.002434,0.908103,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e4-mpirun-np4,PASS,0.479230,FAIL,0.176402,-0.302828,0.368095,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_1e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e4-mpirun-np4-vtkdiff,PASS,0.034393,FAIL,0.026507,-0.007886,0.770700,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_1e5-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_1e5-mpirun-np4,PASS,2.467880,FAIL,0.200491,-2.267389,0.081240,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_1e5-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_1e5-mpirun-np4-vtkdiff,PASS,0.104795,FAIL,0.066131,-0.038664,0.631055,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_2e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_2e4-mpirun-np4,PASS,0.549752,FAIL,0.176908,-0.372844,0.321796,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_2e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_2e4-mpirun-np4-vtkdiff,PASS,0.041993,FAIL,0.032740,-0.009253,0.779660,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_3e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_3e4-mpirun-np4,PASS,0.829541,FAIL,0.173303,-0.656238,0.208914,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_3e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_3e4-mpirun-np4-vtkdiff,PASS,0.049666,FAIL,0.036194,-0.013472,0.728753,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_4e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_4e4-mpirun-np4,PASS,1.057640,FAIL,0.174922,-0.882718,0.165389,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_4e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_4e4-mpirun-np4-vtkdiff,PASS,0.058033,FAIL,0.039013,-0.019020,0.672254,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_5e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_5e4-mpirun-np4,PASS,1.339120,FAIL,0.164157,-1.174963,0.122586,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_5e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_5e4-mpirun-np4-vtkdiff,PASS,0.068139,FAIL,0.046114,-0.022024,0.676775,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e0-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e0-mpirun-np4,PASS,0.162172,FAIL,0.175939,0.013767,1.084891,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e0-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e0-mpirun-np4-vtkdiff,PASS,0.022079,FAIL,0.023260,0.001181,1.053485,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e1-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e1-mpirun-np4,PASS,0.140806,FAIL,0.166810,0.026004,1.184680,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e1-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e1-mpirun-np4-vtkdiff,PASS,0.022440,FAIL,0.025632,0.003192,1.142258,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e2-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e2-mpirun-np4,PASS,0.142646,FAIL,0.156542,0.013896,1.097416,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e2-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e2-mpirun-np4-vtkdiff,PASS,0.021865,FAIL,0.024478,0.002613,1.119491,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e3-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e3-mpirun-np4,PASS,0.172574,FAIL,0.170743,-0.001831,0.989390,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e3-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e3-mpirun-np4-vtkdiff,PASS,0.025332,FAIL,0.024863,-0.000469,0.981478,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e4-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e4-mpirun-np4,PASS,0.345318,FAIL,0.169854,-0.175464,0.491877,missing cfg4 partitioned mesh
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e4-mpirun-vtkdiff,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e4-mpirun-np4-vtkdiff,PASS,0.034620,FAIL,0.027798,-0.006823,0.802926,missing np4 result file for vtkdiff
ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e5-mpirun,ogs-SteadyStateDiffusion_cube_1x1x1_Neumann_1e5-mpirun-np4,PASS,2.459460,FAIL,0.174943,-2.284517,0.071131,missing cfg4 partitioned mesh
